#	generated from ===> Altmark_input.xlsm <===												
#	---------	INVESTMENTS	--------										
													
!	type	name	cost	life	labSub	landSub	capacity	maintenance	prodGroup	techChange	#	old-maintenance	
													
	12	plough	13000	10	0	0	2000	650	0	0		24000	23350
	12	tractor	48000	10	0	0	10000	2400	0	0		121200	118800
	12	tractorSmall	40000	10	0	0	10000	2000	0	0		105400	103400
	12	chiselPlough	5600	10	0	0	2600	280	0	0		13000	12720
	12	sowMachine	12500	10	0	0	2250	625	0	0		5625	5000
	12	directSowMachine	46000	10	0	0	5520	2300	0	0		66240	63940
	12	seedBedCombi	10000	10	0	0	2250	500	0	0		9000	8500
	12	circHarrow	13000	10	0	0	3000	650	0	0		15000	14350
	12	springTineHarrow	7350	10	0	0	2250	367.5	0	0		7875	7507.5
	12	fingerHarrow	3500	10	0	0	2250	175	0	0		4500	4325
	12	combine	151000	10	0	0	3000	7550	0	0		108360	100810
	12	cuttingUnitCere	19500	10	0	0	2800	975	0	0		14000	13025
	12	cuttingAddRape	8900	10	0	0	1500	445	0	0		1500	1055
	12	cuttingUnitMaiz	34000	10	0	0	800	1700	0	0		14400	12700
	12	rotaryHarrow	7600	10	0	0	2500	380	0	0		17500	17120
	12	mulcher	8400	10	0	0	3850	420	0	0		6545	6125
	12	potatoPlanter	26500	10	0	0	1400	1325	0	0		18200	16875
	12	potatoLifter	70000	10	0	0	500	3500	0	0		20000	16500
	12	hoe	5900	10	0	0	1250	295	0	0		3750	3455
	12	ridger	7800	10	0	0	1200	390	0	0		3600	3210
	12	haulmCutter	9800	10	0	0	1100	490	0	0		5720	5230
	12	forkLiftTruck	47500	10	0	0	9000	2375	0	0		52560	50185
	12	threeWayTippingTrailer	17500	10	0	0	1500	875	0	0		7950	7075
	12	Sprayer	13500	10	0	0	1200000	675	0	0		0	-675
	12	singleSeeder	15500	10	0	0	750	775	0	0		6375	5600
	12	beetHarvester	71000	10	0	0	660	3550	0	0		39600	36050
	12	fertSpreaderSmall	3600	10	0	0	2000	180	0	0		300	120
	12	fertSpreaderLarge	31500	10	0	0	2950	1575	0	0		244.85	-1330.15
	12	cornHeader	50000	10	0	0	1900	2500	0	0		19000	16500
	12	mowerConditioner	14000	10	0	0	3300	700	0	0		7425	6725
	12	grasReseedingUnit	14500	10	0	0	2500	725	0	0		5875	5150
	12	rotaryTedder	6500	10	0	0	6150	325	0	0		10147.5	9822.5
	12	rake	5200	10	0	0	3600	260	0	0		7200	6940
	12	roller	2450	10	0	0	3000	122.5	0	0		600	477.5
	12	balePressHay	34000	10	0	0	35000	1700	0	0		33250	31550
	12	manbarrel	29000	10	0	0	120000	1450	0	0		0	-1450
	12	draghose	20500	10	0	0	150000	1025	0	0		0	-1025
	12	injector	25500	10	0	0	6000	1275	0	0		0	-1275
	12	trailingshoe	19000	10	0	0	4500	950	0	0		0	-950
	12	solidManDist	67000	10	0	0	94080	3350	0	0		0	-3350
	12	frontLoader	4600	10	0	0	2500	230	0	0		2250	2020
	12	siloBlockCutter	8400	10	0	0	11000	420	0	0		2640	2220
	12	shearGrab	7700	10	0	0	24000	385	0	0		2400	2015
	12	dungGrab	2400	10	0	0	37500	120	0	0		375	255
	12	fodderMixingVeh8	42500	10	0	0	23000	2125	0	0		20470	18345
	12	fodderMixingVeh10	37500	10	0	0	35000	1875	0	0		22400	20525
	12	fodderMixingVeh16	60000	10	0	0	60000	3000	0	0		33000	30000
	13	potaStore500t	195850	12	0	0	500	1958.5	0	0		1958.5	0
	13	bunkerSilo450	34176	20	0	0	450	341.76	0	0		341.76	0
	13	bunkerSilo900	60900	20	0	0	900	609	0	0		609	0
	13	bunkerSilo1620	84490	20	0	0	1620	844.9	0	0		844.9	0
	13	bunkerSilo2640	115770	20	0	0	2640	1157.7	0	0		1157.7	0
	13	bunkerSilo3630	127110	20	0	0	3630	1271.1	0	0		1271.1	0
	13	bunkerSilo4620	138450	20	0	0	4620	1384.5	0	0		1384.5	0
	13	bunkerSilo8580	218250	20	0	0	8580	2182.5	0	0		2182.5	0
	13	bunkerSilo11870	284970	20	0	0	11870	2849.7	0	0		2849.7	0
	13	bunkerSilo26550	482000	20	0	0	26550	4820	0	0		4820	0
